State_Long,State,Purchase_Power_2019
Connecticut,CT,$0.95
Massachusetts,MA,$0.91
Wyoming,WY,$1.08
North Dakota,ND,$1.12
Maryland,MD,$0.93
New York,NY,$0.86
South Dakota,SD,$1.14
Nebraska,NE,$1.12
New Jersey,NJ,$0.86
Illinois,IL,$1.03
Minnesota,MN,$1.02
Colorado,CO,$0.98
Kansas,KS,$1.12
Pennsylvania,PA,$1.03
New Hampshire,NH,$0.94
Alaska,AK,$0.95
Washington,WA,$0.92
Virginia,VA,$0.99
Wisconsin,WI,$1.09
Iowa,IA,$1.12
California,CA,$0.86
Ohio,OH,$1.13
Rhode Island,RI,$0.99
Delaware,DE,$1.01
Indiana,IN,$1.13
Missouri,MO,$1.13
Texas,TX,$1.04
Oklahoma,OK,$1.15
Louisiana,LA,$1.14
Tennessee,TN,$1.11
Vermont,VT,$0.97
Montana,MT,$1.07
Michigan,MI,$1.08
Nevada,NV,$1.03
Arkansas,AR,$1.18
Oregon,OR,$0.98
North Carolina,NC,$1.09
Florida,FL,$0.99
Alabama,AL,$1.17
Georgia,GA,$1.07
Maine,ME,$1.01
Utah,UT,$1.04
Kentucky,KY,$1.14
Idaho,ID,$1.08
South Carolina,SC,$1.09
West Virginia,WV,$1.15
Arizona,AZ,$1.04
Hawaii,HI,$0.84
New Mexico,NM,$1.10
Mississippi,MS,$1.18
